№ п/п;Столбец2;Индекс;Бренд;Страна;Код УКТ ЗЕД;Кол-во;ЦСДО;Вес нетто, кг.;Пошлина, %;ПД/ПП;СУВСДО;СУ, USD;СБ, ГРН;СУ, ГРН;Сумма по документу;Столбец1;% вес;% деньги;Транспорт З, ГРН;Страховка З, ГРН;Факт стоим. ГРН;Там. Стоим. ГРН;Транспорт Л, ГРН;Разное Б, ГРН;Остальное У, ГРН;ФактПошлина Б, ГРН;ФактНДС У, ГРН;ТамПошлина Б, ГРН;ТамНДС У, ГРН
55;Колодки;T2114062L;TOKO;CN;8708309198;60;3,33;78,00;10,00%;ПД;4,6918;4,6918;103,1241;123,5627;199,8000;;0,36%;0,33%;188,6830;10,9237;5 177,9347;5 377,5414;115,0506;37,4373;43,2541;517,7935;1 139,1456;537,7541;1 183,0591
56;Колодки;T2114076L;TOKO;CN;8708309198;80;3,82;144,00;10,00%;ПД;5,4378;5,4378;119,5753;143,1856;305,6000;;0,66%;0,51%;348,3378;16,7082;7 919,8040;8 284,8499;212,4011;57,2614;66,1585;791,9804;1 742,3569;828,4850;1 822,6670
57;Колодки;T2114077L;TOKO;CN;8708309198;150;3,35;165,00;10,00%;ПД;4,6825;4,6825;102,8840;123,3347;502,5000;;0,75%;0,84%;399,1370;27,4733;13 022,5835;13 449,1938;243,3762;94,1553;108,7848;1 302,2583;2 864,9684;1 344,9194;2 958,8226
58;Колодки;T2114078L;TOKO;CN;8708309198;60;4,10;114,00;10,00%;ПД;5,8306;5,8306;128,2079;153,5318;246,0000;;0,52%;0,41%;275,7674;13,4496;6 375,2349;6 664,4519;168,1509;46,0939;53,2558;637,5235;1 402,5517;666,4452;1 466,1794
59;Колодки;T2114080L;TOKO;CN;8708309198;70;3,42;84,00;10,00%;ПД;4,7942;4,7942;105,3523;126,2714;239,4000;;0,38%;0,40%;203,1970;13,0888;6 204,1920;6 420,4778;123,9006;44,8573;51,8270;620,4192;1 364,9222;642,0478;1 412,5051
60;Колодки;T2114086L;TOKO;CN;8708309198;150;4,01;255,00;10,00%;ПД;5,6741;5,6741;124,7389;149,4227;601,5000;;1,16%;1,01%;616,8482;32,8860;15 588,2268;16 237,9609;376,1269;112,7053;130,2170;1 558,8227;3 429,4099;1 623,7961;3 572,3514
61;Колодки;T2115100L;TOKO;CN;8708309198;70;3,30;98,00;10,00%;ПД;4,6696;4,6696;102,6571;122,9710;231,0000;;0,45%;0,39%;237,0632;12,6295;5 986,5011;6 236,1938;144,5507;43,2833;50,0085;598,6501;1 317,0302;623,6194;1 371,9626
62;Колодки;T2115106L;TOKO;CN;8708309198;100;4,54;180,00;10,00%;ПД;6,4015;6,4015;140,7099;168,5898;454,0000;;0,82%;0,76%;435,4222;24,8217;11 765,6774;12 225,9213;265,5014;85,0677;98,2851;1 176,5677;2 588,4490;1 222,5921;2 689,7027
63;Колодки;T2115113L;TOKO;CN;8708309198;80;3,00;84,00;10,00%;ПД;4,2050;4,2050;92,4034;110,7521;240,0000;;0,38%;0,40%;203,1970;13,1216;6 219,7414;6 436,0600;123,9006;44,9697;51,9569;621,9741;1 368,3431;643,6060;1 415,9332
64;Колодки;T2115120L;TOKO;CN;8708309198;100;4,29;180,00;10,00%;ПД;6,0669;6,0669;133,3715;159,7689;429,0000;;0,82%;0,72%;435,4222;23,4548;11 117,7877;11 576,6647;265,5014;80,3833;92,8730;1 111,7788;2 445,9133;1 157,6665;2 546,8662
65;Колодки;T2115122L;TOKO;CN;8708309198;100;3,90;170,00;10,00%;ПД;5,5268;5,5268;121,5100;145,5415;390,0000;;0,77%;0,65%;411,2321;21,3226;10 107,0797;10 539,6344;250,7513;73,0758;84,4300;1 010,7080;2 223,5575;1 053,9634;2 318,7196
66;Колодки;T2115129L;TOKO;CN;8708309198;60;5,18;120,00;10,00%;ПД;7,2943;7,2943;160,3234;192,1048;310,8000;;0,55%;0,52%;290,2815;16,9925;8 054,5651;8 361,8390;177,0009;58,2358;67,2842;805,4565;1 772,0043;836,1839;1 839,6046
67;Колодки;T2116013L;TOKO;CN;8708309198;80;3,89;136,00;10,00%;ПД;5,5134;5,5134;121,2165;145,1887;311,2000;;0,62%;0,52%;328,9857;17,0143;8 064,9313;8 410,9313;200,6010;58,3107;67,3708;806,4931;1 774,2849;841,0931;1 850,4049
68;Колодки;T2119006L;TOKO;CN;8708309198;100;3,05;90,00;10,00%;ПД;4,2449;4,2449;93,2507;111,8160;305,0000;;0,41%;0,51%;217,7111;16,6753;7 904,2546;8 138,6411;132,7507;57,1490;66,0286;790,4255;1 738,9360;813,8641;1 790,5010
69;Колодки;T2132026L;TOKO;CN;8708309198;100;3,87;150,00;10,00%;ПД;5,4506;5,4506;119,8022;143,5494;387,0000;;0,68%;0,65%;362,8519;21,1586;10 029,3329;10 413,3434;221,2511;72,5136;83,7805;1 002,9333;2 206,4532;1 041,3343;2 290,9355
70;Колодки;T2133047L;TOKO;CN;8708309198;50;5,68;85,00;10,00%;ПД;7,9095;7,9095;173,7594;208,3462;284,0000;;0,39%;0,47%;205,6161;15,5272;7 360,0273;7 581,1705;125,3756;53,2141;61,4823;736,0027;1 619,2060;758,1171;1 667,8575
71;Колодки;T2134005L;TOKO;CN;8708309198;50;3,60;70,00;10,00%;ПД;5,0712;5,0712;111,4632;133,5560;180,0000;;0,32%;0,30%;169,3309;9,8412;4 664,8060;4 843,9781;103,2505;33,7273;38,9677;466,4806;1 026,2573;484,3978;1 065,6752
72;Колодки;T2134009L;TOKO;CN;8708309198;50;4,52;90,00;10,00%;ПД;6,3748;6,3748;140,1228;167,8841;226,0000;;0,41%;0,38%;217,7111;12,3562;5 856,9231;6 086,9904;132,7507;42,3465;48,9261;585,6923;1 288,5231;608,6990;1 339,1379
73;Колодки;T2142018L;TOKO;CN;8708309198;80;3,97;140,00;10,00%;ПД;5,6295;5,6295;123,7715;148,2447;317,6000;;0,64%;0,53%;338,6617;17,3642;8 230,7911;8 586,8170;206,5011;59,5099;68,7563;823,0791;1 810,7740;858,6817;1 889,0997
74;Колодки;T2142046L;TOKO;CN;8708309198;60;4,80;138,00;10,00%;ПД;6,8397;6,8397;150,4098;180,0975;288,0000;;0,63%;0,48%;333,8237;15,7459;7 463,6896;7 813,2592;203,5510;53,9636;62,3483;746,3690;1 642,0117;781,3259;1 718,9170
75;Колодки;T2143020L;TOKO;CN;8708309198;50;3,46;65,00;10,00%;ПД;4,8658;4,8658;106,9401;128,1495;173,0000;;0,30%;0,29%;157,2358;9,4585;4 483,3969;4 650,0912;95,8755;32,4157;37,4523;448,3397;986,3473;465,0091;1 023,0201
76;Колодки;T2146012L;TOKO;CN;8708309198;60;3,41;66,00;10,00%;ПД;4,7628;4,7628;104,6452;125,4517;204,6000;;0,30%;0,34%;159,6548;11,1862;5 302,3295;5 473,1705;97,3505;38,3367;44,2933;530,2330;1 166,5125;547,3170;1 204,0975
77;Колодки;T2146034L;TOKO;CN;8708309198;50;4,55;85,00;10,00%;ПД;6,3969;6,3969;140,5898;168,4758;227,5000;;0,39%;0,38%;205,6161;12,4382;5 895,7965;6 113,8507;125,3756;42,6275;49,2508;589,5796;1 297,0752;611,3851;1 345,0472
78;Колодки;T2146037L;TOKO;CN;8708309198;80;3,82;120,00;10,00%;ПД;5,3837;5,3837;118,3345;141,7852;305,6000;;0,55%;0,51%;290,2815;16,7082;7 919,8040;8 226,7936;177,0009;57,2614;66,1585;791,9804;1 742,3569;822,6794;1 809,8946
79;Колодки;T2152025L;TOKO;CN;8708309198;60;4,77;114,00;10,00%;ПД;6,7274;6,7274;147,8748;177,1718;286,2000;;0,52%;0,48%;275,7674;15,6475;7 417,0416;7 708,4565;168,1509;53,6264;61,9586;741,7042;1 631,7491;770,8456;1 695,8604
80;Колодки;T2152045L;TOKO;CN;8708309198;60;6,26;120,00;10,00%;ПД;8,7399;8,7399;192,0252;230,2110;375,6000;;0,55%;0,63%;290,2815;20,5353;9 733,8952;10 044,7120;177,0009;70,3776;81,3126;973,3895;2 141,4570;1 004,4712;2 209,8366
